id,created,updated,expired,type,abbrvname,name,mapped,extinct,overlay,jurisdiction_id,specialnotes,status,affordable_district,elderly_district,family1_treatment,family2_treatment,family3_treatment,family4_treatment,accessory_treatment,affordable_treatment,accessory_elderly_only,accessory_family_required,accessory_maxbedrooms,accessory_maxpercent,accessory_maxsqft,accessory_minlotacres,accessory_minparking,accessory_owner_required,accessory_primarystructure_only,accessory_renter_prohibited,affordable_definition,affordable_elderly_only,affordable_maxbedrooms,affordable_maxunitsperacre,affordable_maxunitsperbldg,affordable_minlotacres,affordable_minparking_1br,affordable_minparking_2br,affordable_minunitsqft,affordable_transit_required,affordable_water_required,family1_floorarearatio,family1_frontsetbackft,family1_maxheightft,family1_maxlotcoverage_building,family1_maxlotcoverage_buildingimpervious,family1_maxstories,family1_minlotacres,family1_minparking,family1_minunitsqft,family1_rearsetbackft,family1_sidesetbackft,family2_affordable_only,family2_elderly_only,family2_floorarearatio,family2_frontsetbackft,family2_maxheightft,family2_maxlotcoverage_building,family2_maxlotcoverage_buildingimpervious,family2_maxstories,family2_maxunitsperacre,family2_minlotacres,family2_minparking_1br,family2_minparking_2br,family2_minunitsqft,family2_rearsetbackft,family2_sidesetbackft,family3_affordable_only,family3_elderly_only,family3_floorarearatio,family3_frontsetbackft,family3_maxbedrooms,family3_maxheightft,family3_maxlotcoverage_building,family3_maxlotcoverage_buildingimpervious,family3_maxstories,family3_maxunitsperacre,family3_minlotacres,family3_minparking_1br,family3_minparking_2br,family3_minunitsqft,family3_rearsetbackft,family3_sidesetbackft,family3_transit_required,family3_water_required,family4_affordable_only,family4_elderly_only,family4_floorarearatio,family4_frontsetbackft,family4_maxbedrooms,family4_maxheightft,family4_maxlotcoverage_building,family4_maxlotcoverage_buildingimpervious,family4_maxstories,family4_maxunitsperacre,family4_maxunitsperbldg,family4_minlotacres,family4_minparking_1br,family4_minparking_2br,family4_minunitsqft,family4_rearsetbackft,family4_sidesetbackft,family4_transit_required,family4_water_required,plannedresidential_maxunits,plannedresidential_maxunitsperacre,plannedresidential_minlotacres,plannedresidential_mobilehome,plannedresidential_treatment,tooltipnotes,accessory_maxbedrooms_units,accessory_maxpercent_units,accessory_maxsqft_units,accessory_minlotacres_units,accessory_minparking_units,affordable_maxbedrooms_units,affordable_maxunitsperacre_units,affordable_maxunitsperbldg_units,affordable_minlotacres_units,affordable_minparking_1br_units,affordable_minparking_2br_units,affordable_minunitsqft_units,family1_floorarearatio_units,family1_frontsetbackft_units,family1_maxheightft_units,family1_maxlotcoverage_building_units,family1_maxlotcoverage_buildingimpervious_units,family1_maxstories_units,family1_minlotacres_units,family1_minparking_units,family1_minunitsqft_units,family1_rearsetbackft_units,family1_sidesetbackft_units,family2_floorarearatio_units,family2_frontsetbackft_units,family2_maxheightft_units,family2_maxlotcoverage_building_units,family2_maxlotcoverage_buildingimpervious_units,family2_maxstories_units,family2_maxunitsperacre_units,family2_minlotacres_units,family2_minparking_1br_units,family2_minparking_2br_units,family2_minunitsqft_units,family2_rearsetbackft_units,family2_sidesetbackft_units,family3_floorarearatio_units,family3_frontsetbackft_units,family3_maxbedrooms_units,family3_maxheightft_units,family3_maxlotcoverage_building_units,family3_maxlotcoverage_buildingimpervious_units,family3_maxstories_units,family3_maxunitsperacre_units,family3_minlotacres_units,family3_minparking_1br_units,family3_minparking_2br_units,family3_minunitsqft_units,family3_rearsetbackft_units,family3_sidesetbackft_units,family4_floorarearatio_units,family4_frontsetbackft_units,family4_maxbedrooms_units,family4_maxheightft_units,family4_maxlotcoverage_building_units,family4_maxlotcoverage_buildingimpervious_units,family4_maxstories_units,family4_maxunitsperacre_units,family4_maxunitsperbldg_units,family4_minlotacres_units,family4_minparking_1br_units,family4_minparking_2br_units,family4_minunitsqft_units,family4_rearsetbackft_units,family4_sidesetbackft_units,plannedresidential_maxunits_units,plannedresidential_maxunitsperacre_units,plannedresidential_minlotacres_units,customfielddata,effectivedate,acres,nonresidential_type,jurisdiction,govtype,haszoning,zoningcodepages,county,county_id,state
30574,2023-06-30,2023-06-30,NA,,I,Industrial,NA,NA,FALSE,3056,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-30,0,,Winfield,municipal,TRUE,32,Lincoln County,5488,MO
30575,2023-06-30,2023-06-30,NA,,M,Mobile Home,NA,NA,FALSE,3056,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-30,0,,Winfield,municipal,TRUE,32,Lincoln County,5488,MO
30573,2023-06-30,2023-06-30,NA,,C,Commercial,NA,NA,FALSE,3056,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-30,0,,Winfield,municipal,TRUE,32,Lincoln County,5488,MO
30572,2023-06-30,2023-06-30,NA,,R,Residential,NA,NA,FALSE,3056,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-06-30,0,,Winfield,municipal,TRUE,32,Lincoln County,5488,MO
30630,2023-07-01,2023-07-05,NA,,CPD,Commercial Planned,TRUE,FALSE,NA,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-01,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
30621,2023-07-01,2023-07-05,NA,,R-1M,Mobile/Manufactured Home Residential,TRUE,FALSE,FALSE,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-01,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
30624,2023-07-01,2023-07-05,NA,,S-D,Special Old Town,TRUE,FALSE,FALSE,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-01,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
31041,2023-07-05,2023-07-05,NA,,City Owned property within City Limits,City Owned property within City Limits,TRUE,TRUE,NA,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-05,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
30617,2023-07-01,2023-07-05,NA,,R-1,Single-Family Residential,TRUE,FALSE,FALSE,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-01,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
30618,2023-07-01,2023-07-05,NA,,R-1(A),Single-Family Residential,TRUE,FALSE,FALSE,3050,,inprogress,NA,NA,,,,,,,NA,NA,,,,,,NA,NA,NA,,NA,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,,,,NA,,,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,"{""27_56"": """", ""27_57"": """", ""27_58"": """", ""27_59"": """", ""27_60"": """", ""27_61"": """", ""27_62"": """", ""27_63"": """", ""27_64"": """", ""27_65"": """", ""27_66"": """", ""27_67"": """", ""27_68"": """", ""27_69"": """", ""27_70"": """", ""27_71"": """", ""27_72"": """", ""27_73"": """", ""27_74"": """", ""27_75"": """", ""27_76"": """", ""27_77"": """", ""27_78"": """", ""27_79"": """", ""27_80"": """", ""27_81"": """"}",2023-07-01,0,,Moscow Mills,municipal,TRUE,135,Lincoln County,5488,MO
